shoe size,height,kelas
8.518110459,73.02945995,seniors
10.30152657,68.95967699,seniors
7.386575344,73.55804245,seniors
9.477281047,68.19555849,seniors
10.91038886,75.14467248,seniors
8.25020185,75.99638944,seniors
6.815541194,79.56042128,seniors
8.911967807,63.614433,seniors
9.991432568,66.06858105,seniors
9.240619287,73.40188355,seniors
10.51692546,64.73745093,seniors
10.47094053,70.91668961,seniors
10.07589935,73.36368321,seniors
11.03838364,74.77037255,seniors
9.282236736,67.37531337,seniors
9.682181162,71.28721365,seniors
8.488743491,64.65449244,seniors
10.53867123,66.85863044,seniors
9.571105221,68.74769385,seniors
9.325016915,74.10850872,seniors
10.9324425,72.62982823,seniors
8.341842142,67.36727026,seniors
9.573597112,70.90302581,seniors
9.147515353,77.22542053,seniors
10.81330536,70.36255882,seniors
10.44253468,72.23468993,seniors
11.44274721,68.25367463,seniors
12.19294214,68.52757689,seniors
7.409885175,68.26668775,seniors
7.8620594,70.95824891,seniors
8.201407808,65.22320586,seniors
12.88488423,68.2669715,seniors
10.31236315,65.33655153,seniors
9.458307784,72.36409731,seniors
7.188936432,71.16436212,seniors
10.61323733,73.53628213,seniors
10.46494816,68.82892362,seniors
10.21645958,69.0246255,seniors
11.09674747,66.65306391,seniors
11.60961553,72.3388899,seniors
8.927639335,69.35895193,seniors
8.288794242,73.30496595,seniors
10.04041779,69.25545084,seniors
9.361270197,69.4439357,seniors
8.745416462,69.70774989,seniors
8.433569471,74.22194479,seniors
9.940716531,67.52479813,seniors
14.30572835,67.90578065,seniors
10.22200001,71.62109844,seniors
9.420390251,69.26530074,seniors
10.21814256,70.35982059,seniors
9.661473542,69.12284008,seniors
7.742812415,66.95010721,seniors
9.551727089,71.69902206,seniors
10.44819129,70.79734608,seniors
9.630026596,68.99102684,seniors
11.31882867,68.92486249,seniors
12.49643664,72.01331534,seniors
8.164125259,74.79381109,seniors
9.655728249,64.18398018,seniors
10.42126328,68.69734208,seniors
8.994308605,72.06486627,seniors
10.0790647,69.42073344,seniors
9.842083831,66.75686132,seniors
9.174935812,74.08229947,seniors
